question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
11,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,貫流ボイラーに関する記述として、適切なものは次のうちどれか。,,,,,,管系の一端から給水し、他端から蒸気を取り出す。,必ず大きな蒸気ドラムと水ドラムを持つ。,給水処理は不要である。,起動に非常に長時間を要することだけが特徴である。,水循環を良くするため大きな胴を必要とする。,1,貫流ボイラーは、管系を水が一方向に流れながら蒸発する形式である。
12,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,鋳鉄製ボイラーに関する記述として、適切でないものは次のうちどれか。,,,,,,セクションを組み合わせて構成されるものがある。,主に暖房用などで用いられる。,鋳鉄は衝撃や急激な温度変化に対して注意を要する。,鋼製ボイラーと同様に、どのような高圧にも制限なく使用できる。,組立てや増設に特徴を持つ形式がある。,4,鋳鉄製ボイラーは、構造・材料上の制限があり、高圧用途に無制限に使えるわけではない。
13,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,パッケージボイラーに関する記述として、適切なものは次のうちどれか。,,,,,,工場で本体、燃焼装置、附属品などを一体的に組み立てたものが多い。,現地で必ず炉筒を鍛造して作る。,燃焼装置を備えないものだけをいう。,ボイラー水を全く使わない形式である。,安全装置を省略するための形式である。,1,パッケージボイラーは、工場組立てにより現地据付を容易にした形式が多い。
14,single,ボイラーの構造に関する知識,附属品・計測器,安全弁に関する記述として、適切なものは次のうちどれか。,,,,,,圧力が所定値を超えたとき蒸気を逃がす安全装置である。,給水中の硬度成分を除去する薬剤である。,燃料油を加熱するための装置である。,燃焼用空気を送るファンである。,ボイラー水を濃縮するためだけに用いる弁である。,1,安全弁は過圧防止のための重要な安全装置である。
15,single,ボイラーの構造に関する知識,附属品・計測器,水面計に関する記述として、適切でないものは次のうちどれか。,,,,,,蒸気ボイラーの水位を確認するために用いる。,水側及び蒸気側の連絡状態が重要である。,水面計の機能試験は重要である。,水面計が閉塞すると正しい水位が分からなくなる。,水面計は燃料の発熱量を測定する計器である。,5,水面計は水位確認のための装置であり、燃料発熱量の測定器ではない。
16,single,ボイラーの構造に関する知識,附属品・計測器,圧力計に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーの圧力を監視する計器である。,ボイラー水の硬度を下げる装置である。,燃料を霧化するバーナである。,蒸気中のドレンを排出する弁である。,水面計の水位を必ず低く表示する装置である。,1,圧力計は圧力を監視するための基本的な計測器である。
17,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,エコノマイザに関する記述として、適切なものは次のうちどれか。,,,,,,排ガスの熱を利用して給水を加熱する。,燃料タンク内の水分を除去する。,炉内に二次空気を吹き込むバーナである。,安全弁の吹出し量を測定する計器である。,ボイラー水のpHを直接表示する水面計である。,1,エコノマイザは排ガス余熱で給水を加熱し、効率向上に役立つ。
18,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,空気予熱器に関する記述として、適切でないものは次のうちどれか。,,,,,,燃焼用空気を予熱する。,排ガスの熱を利用するものがある。,燃焼効率の向上に寄与することがある。,水面計の代わりに水位を直接表示する装置である。,低品位燃料の燃焼改善に役立つ場合がある。,4,空気予熱器は燃焼用空気を加熱する装置であり、水位表示装置ではない。
19,single,ボイラーの構造に関する知識,附属品・計測器,蒸気トラップに関する記述として、適切なものは次のうちどれか。,,,,,,蒸気配管や装置に生じたドレンを排出する。,給水中の酸素を化学的に除去する。,燃料油を微粒化する。,ボイラー室の換気量を直接測定する。,燃焼ガス中のNOxを生成する。,1,蒸気トラップは蒸気をできるだけ逃がさず、ドレンを排出する装置である。
20,single,ボイラーの構造に関する知識,附属品・計測器,温水ボイラーの逃がし弁に関する記述として、適切なものは次のうちどれか。,,,,,,水の膨張などで圧力が設定値を超えた場合に水を逃がす。,燃料の粘度を下げるために用いる。,蒸気中の乾き度を直接測定する。,燃焼用空気を圧縮する。,給水中の硬度成分を再生する。,1,逃がし弁は温水ボイラーの過圧を防ぐために用いられる。
21,single,ボイラーの取扱いに関する知識,点火・たき始め,油だきボイラーの点火前に行う事項として、適切でないものは次のうちどれか。,,,,,,炉内を換気する。,水位を確認する。,燃料漏れを確認する。,未燃ガスが残っていても直ちに点火する。,燃焼装置を点検する。,4,未燃ガスが残ったまま点火すると逆火や爆発の危険がある。
22,single,ボイラーの取扱いに関する知識,点火・たき始め,ボイラーのたき始めに関する記述として、適切なものは次のうちどれか。,,,,,,急激な燃焼量増加は避ける。,れんが積みの状態は無視してよい。,水位確認は昇圧後だけでよい。,圧力計の動きは確認しなくてよい。,燃焼開始直後に主蒸気弁を急開する。,1,急激なたき上げは本体やれんが積みに悪影響を与えることがある。
23,single,ボイラーの取扱いに関する知識,点火・たき始め,逆火の原因として、適切でないものは次のうちどれか。,,,,,,着火遅れがある。,炉内に未燃ガスが滞留している。,空気より先に燃料を供給する。,煙道の通風が不足している。,点火前に十分な換気を行う。,5,十分な換気は逆火防止に有効であり、原因ではない。
24,single,ボイラーの取扱いに関する知識,水位・低水位,ボイラー水位の異常低下の原因として、適切でないものは次のうちどれか。,,,,,,給水装置の故障,吹出し弁の閉止不完全,蒸気の大量消費,水面計の閉塞による誤認,給水が正常に連続して行われている状態,5,正常な給水は水位低下の原因ではない。
25,single,ボイラーの取扱いに関する知識,水位・低水位,低水位を発見した場合の対応として、適切でないものは次のうちどれか。,,,,,,燃焼を停止する。,水位計の状態を確認する。,状況に応じて責任者へ連絡する。,原因を確認する。,赤熱している可能性があっても大量の冷水を急に入れる。,5,過熱状態への急給水は危険であり、所定手順に従う必要がある。
26,single,ボイラーの取扱いに関する知識,水位・低水位,水面計の取扱いに関する記述として、適切なものは次のうちどれか。,,,,,,閉塞すると水位を誤認するおそれがある。,運転中は絶対に点検してはならない。,水面計は圧力計の代わりに使用する。,水面計が2個ある場合は、片方の表示だけを常に信じればよい。,水面計の機能試験は不要である。,1,水面計の閉塞は重大事故につながるため、機能確認が重要である。
27,single,ボイラーの取扱いに関する知識,吹出し・水管理,ボイラー水の吹出しに関する記述として、適切なものは次のうちどれか。,,,,,,不純物濃度の低下やスラッジ排出を目的とする。,燃料の発熱量を高めるためだけに行う。,安全弁の設定圧力を変えるために行う。,常に水位を確認せず最大量行う。,給水ポンプの代わりに行う。,1,吹出しは水質管理のための操作であり、過度な吹出しは熱損失となる。
28,single,ボイラーの取扱いに関する知識,吹出し・水管理,ボイラー水のpHに関する記述として、適切でないものは次のうちどれか。,,,,,,腐食やスケール管理に関係する。,酸性・アルカリ性の指標である。,水管理上、一定範囲に保つことが重要である。,pHはボイラー水の状態と無関係である。,薬品処理で調整する場合がある。,4,pHは水管理上の重要な指標である。
29,single,ボイラーの取扱いに関する知識,吹出し・水管理,軟化装置に関する記述として、適切なものは次のうちどれか。,,,,,,カルシウムやマグネシウムなどの硬度成分を低減する。,燃焼用空気の温度を上げる。,蒸気圧力を直接下げる安全弁である。,燃料油を噴霧する装置である。,煙道内のすすを除去する装置である。,1,軟化装置は給水中の硬度成分を除去し、スケール防止に役立つ。
30,single,ボイラーの取扱いに関する知識,吹出し・水管理,脱酸素剤の使用目的として、適切なものは次のうちどれか。,,,,,,給水中の溶存酸素による腐食を抑える。,燃料油の粘度を上げる。,燃焼用空気量を増やす。,安全弁の吹出し量を測定する。,水面計のガラスを着色する。,1,溶存酸素は腐食原因となるため、脱酸素剤で除去することがある。
31,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,キャリオーバの影響として、適切でないものは次のうちどれか。,,,,,,蒸気純度の低下,過熱器への悪影響,配管や機器への障害,水位の確認が困難になること,蒸気の純度が必ず向上すること,5,キャリオーバは蒸気純度を低下させる。
32,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,キャリオーバ発生時の処置として、適切なものは次のうちどれか。,,,,,,燃焼量を下げるなど、状態を安定させる。,主蒸気弁を急開して一気に圧力を下げる。,水質確認を行わない。,水位が高くても吹出しをしない。,原因を確認せず運転を続ける。,1,キャリオーバ時は燃焼量や水位、水質を確認し、急操作を避ける。
33,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,スートブローに関する記述として、適切でないものは次のうちどれか。,,,,,,伝熱面に付着したすすを除去する。,ドレンを抜いた蒸気を用いることが望ましい。,一箇所に長時間吹き付け続けるのがよい。,燃焼状態に注意して行う。,実施後の排ガス温度や通風状態を確認することがある。,3,一箇所への長時間吹付けは損傷の原因となる。
34,single,ボイラーの取扱いに関する知識,保存・停止・清掃,ボイラー停止時の操作として、適切でないものは次のうちどれか。,,,,,,燃料供給を停止する。,炉内換気や冷却状態に注意する。,蒸気弁や給水弁の状態を確認する。,圧力が残っていても直ちにマンホールを開ける。,必要に応じて水位を確認する。,4,圧力が残っている状態で開放するのは危険である。
35,single,ボイラーの取扱いに関する知識,保存・停止・清掃,満水保存法に関する記述として、適切なものは次のうちどれか。,,,,,,休止中の腐食防止を目的として行う保存法の一つである。,ボイラーを完全に乾燥させる保存法である。,燃料タンク内の水分を抜く方法である。,運転中に常時行う燃焼調整法である。,安全弁のばねを交換する方法である。,1,満水保存法は休止中の内面腐食防止を目的とする保存法である。
36,single,ボイラーの取扱いに関する知識,保存・停止・清掃,酸洗浄に関する記述として、適切でないものは次のうちどれか。,,,,,,スケール除去のために行われる。,腐食防止のため抑制剤を用いることがある。,洗浄後には水洗や中和防錆処理を行う。,作業中に発生するガス等への安全対策が必要である。,どのような状態でも、抑制剤や後処理なしで行えばよい。,5,酸洗浄は腐食やガス発生などの危険を伴うため、適切な薬品管理と後処理が必要である。
37,single,ボイラーの取扱いに関する知識,燃焼安全装置,燃焼安全装置の燃料遮断弁が作動する原因として、適切でないものは次のうちどれか。,,,,,,異常消火,低水位,送風量低下,油圧異常,正常な水位で安定燃焼していること,5,正常運転状態は燃料遮断弁作動の原因ではない。
38,single,ボイラーの取扱いに関する知識,燃焼安全装置,安全弁の試験に関する記述として、適切なものは次のうちどれか。,,,,,,吹出し圧力や吹止まり圧力を確認する。,作動しない場合は圧力をさらに無制限に上げる。,調整後の確認は不要である。,安全弁は一度取り付ければ永久に点検不要である。,逃がし弁は燃料流量調節だけに用いる。,1,安全弁は設定どおり作動するか確認することが重要である。
39,single,ボイラーの取扱いに関する知識,保存・停止・清掃,内面腐食の原因として、適切なものは次のうちどれか。,,,,,,給水中の溶存酸素,水面計の照明色,燃料タンクの外面塗装,煙突の高さだけ,蒸気配管の保温材の色,1,溶存酸素や不適切な水質は内面腐食の原因となる。
40,single,ボイラーの取扱いに関する知識,水位・低水位,ガラス水面計の機能試験を行う時期として、適切なものは次のうちどれか。,,,,,,補修後や運転開始時など、機能確認が必要なとき。,一度取り付けた直後だけでよい。,異常水位が疑われるときでも行ってはならない。,水面計は試験できない装置である。,燃料タンクの清掃時だけ行う。,1,水面計は水位確認の重要装置であり、必要な時期に機能試験を行う。
41,single,燃料及び燃焼に関する知識,燃料性質・発熱量,高発熱量と低発熱量に関する記述として、適切でないものは次のうちどれか。,,,,,,高発熱量は水蒸気の凝縮潜熱を含む。,低発熱量は高発熱量より小さい。,燃料中の水素分は両者の差に影響する。,低発熱量は高発熱量に凝縮潜熱を加えたものである。,ボイラー効率計算では発熱量を用いる。,4,低発熱量は、高発熱量から凝縮潜熱相当分を差し引く考え方である。
42,single,燃料及び燃焼に関する知識,燃料性質・発熱量,引火点に関する記述として、適切なものは次のうちどれか。,,,,,,液体燃料から発生した蒸気に小火炎を近づけたとき、瞬間的に燃え始める最低温度である。,燃料が自然に燃え始める最低温度である。,燃焼ガスの露点と同じ意味である。,燃料中の灰分量を示す値である。,水の比熱を示す値である。,1,引火点は、液体燃料蒸気が小火炎で引火する最低温度である。自然発火温度とは異なる。
43,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料中の灰分に関する記述として、適切でないものは次のうちどれか。,,,,,,多いと灰や付着物の原因となる。,伝熱障害の原因となることがある。,燃焼後に残る無機質分に関係する。,多いほど常にボイラー効率が向上する。,燃料管理上の性質の一つである。,4,灰分が多いと付着や伝熱障害の原因となり、効率向上とは限らない。
44,single,燃料及び燃焼に関する知識,燃料性質・発熱量,液体燃料の性質として、適切なものは次のうちどれか。,,,,,,粘度は温度の影響を受ける。,温度が変わっても粘度は全く変化しない。,水分が混入しても燃焼には一切影響しない。,引火点は燃料管理に無関係である。,比重や密度は常に0である。,1,重油などの粘度は温度により変化し、燃焼や噴霧状態に影響する。
45,single,燃料及び燃焼に関する知識,重油・低温腐食,重油に含まれる硫黄分の影響として、適切なものは次のうちどれか。,,,,,,硫黄酸化物や低温腐食に関係する。,燃焼に全く関係しない。,水の硬度を下げる。,ボイラー水位を直接上げる。,安全弁の作動圧力を自動調整する。,1,硫黄分はSOxや低温腐食に関係する重要な成分である。
46,single,燃料及び燃焼に関する知識,重油・低温腐食,低温腐食の抑制方法として、適切でないものは次のうちどれか。,,,,,,硫黄分の少ない燃料を用いる。,空気漏入を防止する。,排ガス温度が露点以下になりにくいよう管理する。,燃焼ガス中の酸素濃度を必要以上に高くしてSO3生成を促進する。,添加剤を使用することがある。,4,SO3生成や露点上昇につながる管理は低温腐食抑制として不適切である。
47,single,燃料及び燃焼に関する知識,重油・低温腐食,重油中の水分及びスラッジに関する記述として、適切でないものは次のうちどれか。,,,,,,燃焼不良の原因となることがある。,配管やストレーナの詰まりに関係することがある。,貯蔵管理上注意が必要である。,多いほど燃焼状態は必ず安定する。,燃料タンクの管理に関係する。,4,水分やスラッジは燃焼や供給系統の障害になることがある。
48,single,燃料及び燃焼に関する知識,油バーナ,圧力噴霧式バーナに関する記述として、適切なものは次のうちどれか。,,,,,,燃料油に圧力を加え、ノズルから噴霧する。,燃料を霧化せず塊のまま燃やす。,必ず蒸気だけを霧化媒体にする。,空気を全く必要としない。,燃焼量調節が不可能である。,1,圧力噴霧式は、加圧した燃料油をノズルで霧化する方式である。
49,single,燃料及び燃焼に関する知識,油バーナ,戻り油式圧力噴霧バーナに関する記述として、適切なものは次のうちどれか。,,,,,,一部の油を戻すことで燃焼量調節範囲を広げる。,燃料をすべて燃焼室外へ排出する方式である。,燃焼量調節が全くできない。,水だけを噴霧するバーナである。,ガス専焼バーナの一種である。,1,戻り油式は、戻り油量を調整して噴射量を変え、ターンダウン範囲を広げる。
50,single,燃料及び燃焼に関する知識,油バーナ,回転式バーナに関する記述として、適切なものは次のうちどれか。,,,,,,回転カップなどの遠心力を利用して燃料を微粒化する。,水管内で蒸気を凝縮させる装置である。,安全弁の一種である。,燃料油を加熱せず固体のまま供給する。,燃焼用空気を完全に不要にする。,1,回転式バーナは、遠心力を利用して油を微粒化する。
51,single,燃料及び燃焼に関する知識,油バーナ,ガンタイプバーナに関する記述として、適切でないものは次のうちどれか。,,,,,,小容量ボイラーに用いられることが多い。,ファンと圧力噴霧式バーナを組み合わせたものがある。,自動制御に適したものがある。,燃焼用空気を全く送らない方式だけをいう。,油だき小形ボイラーに見られる形式である。,4,ガンタイプバーナは、ファンで燃焼用空気を供給する形式が多い。
52,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,気体燃料の燃焼に関する記述として、適切なものは次のうちどれか。,,,,,,空気との混合が比較的容易である。,霧化媒体が必ず必要である。,漏えいしても安全管理は不要である。,点火及び消火が油燃料より必ず困難である。,燃焼制御ができない。,1,気体燃料は空気と混合しやすいが、漏えい対策など安全管理が重要である。
53,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,ガス燃焼方式に関する記述として、適切でないものは次のうちどれか。,,,,,,予混合燃焼では、燃料ガスと空気をあらかじめ混合する。,拡散燃焼では、燃焼しながら燃料と空気が混合する。,燃焼方式により火炎の形状や安定性が変わる。,ガス燃焼では爆発範囲や漏えいに注意する。,ガス燃焼では燃料と空気の混合状態は全く影響しない。,5,ガス燃焼では燃料と空気の混合状態が燃焼に大きく影響する。
54,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,気体燃料を用いる場合の安全管理として、適切なものは次のうちどれか。,,,,,,漏えい検知や換気に注意する。,配管の気密は確認しなくてよい。,点火前換気は不要である。,燃焼安全装置は不要である。,ガス圧の異常は燃焼に影響しない。,1,気体燃料では漏えい、換気、ガス圧、燃焼安全装置の管理が重要である。
55,single,燃料及び燃焼に関する知識,通風・ファン,通風に関する記述として、適切でないものは次のうちどれか。,,,,,,自然通風は煙突内外の密度差を利用する。,押込通風は燃焼用空気を押し込む。,誘引通風は燃焼ガスを引き出す。,平衡通風は押込と誘引を組み合わせる。,通風方式は燃焼状態に一切影響しない。,5,通風方式は燃焼状態、炉内圧、必要動力などに影響する。
56,single,燃料及び燃焼に関する知識,通風・ファン,多翼形ファンに関する記述として、適切なものは次のうちどれか。,,,,,,前向きの羽根を多数設けたファンである。,燃料油を加熱する装置である。,水面計の一種である。,安全弁のばねである。,給水中の硬度を除去する薬剤である。,1,多翼形ファンは、多数の前向き羽根を持つ遠心ファンである。
57,single,燃料及び燃焼に関する知識,通風・ファン,誘引通風に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼ガスをファンで引き出す。,燃焼用空気を炉内に押し込むだけの方式である。,煙突を全く必要としない化学薬品である。,給水を加熱する装置である。,燃料タンクの水抜き方式である。,1,誘引通風は、誘引ファンで燃焼ガスを吸い出す方式である。
58,single,燃料及び燃焼に関する知識,通風・ファン,平衡通風に関する記述として、適切でないものは次のうちどれか。,,,,,,押込ファンと誘引ファンを併用する。,炉内圧を調整しやすい。,通風抵抗が大きいボイラーに用いられることがある。,燃焼調節に関係する。,燃焼用空気も燃焼ガスも全く動かさない方式である。,5,平衡通風は押込ファンと誘引ファンにより空気と燃焼ガスの流れを調整する。
59,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,空気比に関する記述として、適切なものは次のうちどれか。,,,,,,実際空気量を理論空気量で除した値である。,常に0でなければならない。,燃焼とは無関係である。,排ガス中酸素濃度とは関係しない。,燃料の種類にかかわらず常に同じ値で固定する。,1,空気比は実際空気量/理論空気量で表す。過大な空気比は熱損失増加につながる。
60,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,NOx抑制方法として、適切なものは次のうちどれか。,,,,,,燃焼温度を局所的に高くしすぎない。,炉内酸素濃度を必要以上に高くする。,窒素分の多い燃料だけを選ぶ。,排ガス再循環を必ず禁止する。,燃焼管理を行わない。,1,NOx抑制では、局所高温域の抑制や低NOx燃焼などが有効である。
61,single,関係法令,伝熱面積・ボイラー種別,ボイラーの伝熱面積に関する記述として、法令上、適切なものは次のうちどれか。,,,,,,伝熱面積は、ボイラーの区分や取扱資格に関係することがある。,すべての附属配管の外面積を必ず算入する。,エコノマイザは常に本体伝熱面積に算入する。,伝熱面積は燃料タンク容量だけで決まる。,伝熱面積は法令上全く意味を持たない。,1,伝熱面積はボイラーの規模判断や法令適用に関係する。
62,single,関係法令,伝熱面積・ボイラー種別,水管ボイラーの伝熱面積に関する記述として、法令上、適切でないものは次のうちどれか。,,,,,,水管の伝熱面は算定対象となる。,耐火れんがで覆われた部分の扱いには注意を要する。,管寄せなどの扱いは法令上の定めに従う。,どの部分も名称に関係なくすべて二倍して算入する。,ボイラー種別により算定方法が異なることがある。,4,伝熱面積は種類や部位ごとの算定方法に従って扱う。
63,single,関係法令,伝熱面積・ボイラー種別,貫流ボイラーに関する法令上の扱いとして、適切なものは次のうちどれか。,,,,,,伝熱面積や附属品に関する規定が問題となることがある。,法令上は常にボイラーではない。,給水装置に関する規定は全くない。,安全装置は不要である。,検査や届出の対象になることはない。,1,貫流ボイラーも、規模や用途により法令上の規定対象となる。
64,single,関係法令,伝熱面積・ボイラー種別,鋳鉄製温水ボイラーに関する法令問題で問われやすいものは次のうちどれか。,,,,,,取り付ける附属品,燃料の総発熱量だけ,煙突内ガスの密度だけ,水の比熱だけ,油バーナのターンダウン比だけ,1,鋳鉄製温水ボイラーでは、附属品や取扱資格などが頻出である。
65,single,関係法令,設置・ボイラー室,ボイラー設置に関する記述として、法令上、適切なものは次のうちどれか。,,,,,,一定のボイラーでは、設置届や落成検査が関係する。,設置手続は一切不要である。,ボイラー室の構造は法令上問われない。,検査は常に使用後10年経ってから初めて行う。,設置者ではなく燃料販売店だけが手続を行う。,1,ボイラーの種類や規模により、設置届や落成検査などが関係する。
66,single,関係法令,設置・ボイラー室,ボイラー室に関する記述として、法令上、適切でないものは次のうちどれか。,,,,,,ボイラーの周囲には点検や取扱いに必要な空間が求められる。,出入口や構造に関する規定が問題となることがある。,必要な場合、専用の建物又は区画が求められることがある。,どのようなボイラーでも住居の寝室内に自由に設置できる。,ボイラー室の安全確保は重要である。,4,ボイラー室や設置場所には法令上の制限がある。
67,single,関係法令,設置・ボイラー室,落成検査に関する記述として、適切なものは次のうちどれか。,,,,,,設置後、使用前に受ける検査として問われることがある。,燃料購入量を確認するだけの検査である。,ボイラー検査証と一切関係しない。,どのボイラーにも一律に不要である。,運転者が任意に省略できる。,1,落成検査は、設置後の使用前検査として出題されることが多い。
68,single,関係法令,設置・ボイラー室,使用を廃止したボイラーを再び設置する場合の手続に関する記述として、適切なものは次のうちどれか。,,,,,,使用検査や設置届などが関係する場合がある。,過去に使っていれば検査は永久に不要である。,燃料を入れれば直ちに使用できる。,法令手続は取扱作業主任者の口頭確認だけで足りる。,検査証の有無は全く関係しない。,1,廃止後の再設置では、使用検査や設置届などの手続が問われることがある。
69,single,関係法令,検査・検査証,ボイラー検査証に関する記述として、適切なものは次のうちどれか。,,,,,,有効期間があり、更新には性能検査が関係する。,一度交付されれば永久に更新不要である。,紛失しても再交付制度はない。,検査証は燃料タンクにだけ交付される。,検査証の有効期間は事業者が自由に決める。,1,ボイラー検査証には有効期間があり、更新には性能検査が関係する。
70,single,関係法令,検査・検査証,性能検査に関する記述として、適切なものは次のうちどれか。,,,,,,検査証の有効期間更新に関係する。,燃料の銘柄を決める検査である。,水の比熱を測定するだけの検査である。,検査証とは無関係である。,取扱作業主任者の年齢だけを確認する。,1,性能検査は、検査証の有効期間更新と関係する重要な検査である。
71,single,関係法令,検査・検査証,変更検査に関する記述として、適切でないものは次のうちどれか。,,,,,,主要部分の変更で必要となる場合がある。,所轄労働基準監督署長が関係する場合がある。,胴や過熱器などの変更が問題となることがある。,どのような変更でも、検査や届出の対象になることは絶対にない。,変更内容により手続が異なることがある。,4,主要部分や設備の変更では、届出や変更検査が必要となる場合がある。
72,single,関係法令,検査・検査証,ボイラー検査証の再交付又は書替えに関する記述として、適切なものは次のうちどれか。,,,,,,紛失や記載事項変更などで手続が必要となる場合がある。,検査証は一切書替えできない。,事業者変更があっても常に何も必要ない。,検査証は水面計に貼れば法令手続は不要になる。,再交付は燃料販売店だけが行う。,1,検査証の滅失や記載事項変更では、再交付・書替えが問題となる。
73,single,関係法令,作業主任者・取扱資格,ボイラー取扱作業主任者の職務として、適切なものは次のうちどれか。,,,,,,圧力、水位及び燃焼状態を監視する。,安全弁の状態を一切見ない。,急激な負荷変動を積極的に与える。,水面計を取り外して運転する。,燃料遮断弁を常に無効化する。,1,作業主任者は、圧力、水位、燃焼状態などを監視し、安全運転に努める。
